DelayID,ShippingID,Reason,DelayDuration
510,182189,Weather,3
511,69747,Traffic,9
512,1894,Traffic,4
513,129842,Customs,3
514,116236,Traffic,9
515,125007,Traffic,8
516,133359,Logistics Issue,8
517,95031,Traffic,5
518,69638,Traffic,5
519,192489,Weather,8
520,156520,Weather,5
521,153929,Customs,2
522,145239,Logistics Issue,6
523,167252,Logistics Issue,2
524,126132,Weather,9
525,131139,Logistics Issue,1
526,185350,Customs,6
527,4045,Weather,2
528,114860,Logistics Issue,8
529,123666,Weather,2
530,83635,Traffic,7
531,96536,Weather,1
532,94972,Traffic,4
533,60811,Traffic,7
534,49055,Weather,6
535,110198,Logistics Issue,7
536,112112,Customs,5
537,111959,Logistics Issue,1
538,84199,Weather,8
539,160800,Weather,4
540,120884,Traffic,1
541,100353,Traffic,4
542,98322,Weather,6
543,59177,Weather,8
544,183701,Traffic,1
545,49455,Weather,1
546,46927,Customs,6
547,26368,Customs,5
548,73444,Traffic,6
549,83347,Traffic,3
550,103838,Customs,2
551,77805,Customs,3
552,146053,Traffic,3
553,145808,Logistics Issue,3
554,45693,Traffic,2
555,177993,Weather,5
556,184605,Traffic,8
557,100910,Traffic,9
558,153995,Logistics Issue,2
559,172601,Logistics Issue,2
560,61274,Customs,7
561,185562,Traffic,7
562,90359,Traffic,9
563,131919,Customs,6
564,136513,Logistics Issue,8
565,114799,Weather,2
566,124352,Traffic,7
567,172916,Weather,9
568,85864,Weather,4
569,69113,Traffic,5
570,49042,Customs,4
571,78022,Customs,8
572,31941,Traffic,1
573,192594,Traffic,6
574,157434,Traffic,3
575,137869,Logistics Issue,6
576,124030,Customs,1
577,168315,Logistics Issue,3
578,130186,Customs,7
579,136113,Weather,4
580,38825,Logistics Issue,8
581,133084,Traffic,2
582,26843,Weather,9
583,49562,Logistics Issue,9
584,191330,Traffic,6
585,28547,Weather,2
586,79763,Logistics Issue,1
587,104926,Weather,6
588,192244,Logistics Issue,1
589,41879,Logistics Issue,2
590,164877,Weather,5
591,124860,Traffic,7
592,33550,Logistics Issue,7
593,124934,Customs,4
594,18984,Customs,2
595,21559,Customs,7
596,114030,Customs,8
597,106025,Customs,5
598,193152,Customs,2
599,82853,Weather,2
600,44503,Customs,9
601,160605,Weather,9
602,26072,Traffic,8
603,26888,Logistics Issue,1
604,78228,Logistics Issue,8
605,70588,Weather,4
606,126305,Weather,4
607,797,Weather,9
608,177038,Weather,3
609,51504,Traffic,8
610,38643,Customs,8
611,150100,Weather,1
612,159012,Traffic,6
613,28615,Logistics Issue,8
614,128628,Traffic,2
615,177492,Logistics Issue,7
616,3289,Weather,9
617,142601,Customs,4
618,196075,Traffic,2
619,94673,Traffic,7
620,37693,Weather,6
621,72546,Traffic,5
622,60123,Customs,7
623,598,Traffic,9
624,137129,Traffic,2
625,118510,Customs,4
626,158243,Traffic,1
627,166715,Weather,7
628,2963,Traffic,9
629,182417,Traffic,7
630,159030,Logistics Issue,9
631,193663,Traffic,6
632,65940,Traffic,5
633,38333,Traffic,5
634,174165,Customs,5
635,81299,Weather,5
636,187465,Customs,4
637,128998,Customs,1
638,20194,Customs,2
639,84219,Customs,1
640,195354,Weather,7
641,138321,Customs,5
642,85583,Weather,8
643,183889,Customs,8
644,8001,Weather,7
645,118477,Weather,3
646,16424,Weather,9
647,96591,Customs,5
648,62159,Customs,8
649,37385,Traffic,1
650,54676,Customs,6
651,38217,Traffic,3
652,124061,Logistics Issue,4
653,153941,Weather,4
654,115769,Traffic,3
655,101600,Customs,7
656,54161,Logistics Issue,2
657,48507,Customs,3
658,57986,Customs,1
659,174904,Weather,6
660,66602,Traffic,7
661,170375,Weather,1
662,57198,Customs,2
663,57072,Customs,7
664,47084,Weather,8
665,118302,Logistics Issue,4
666,9867,Weather,4
667,140938,Logistics Issue,2
668,90794,Traffic,5
669,167068,Customs,9
670,10562,Traffic,1
671,185920,Customs,9
672,84124,Logistics Issue,3
673,11723,Logistics Issue,3
674,157338,Logistics Issue,9
675,66335,Weather,3
676,130458,Weather,1
677,194837,Logistics Issue,9
678,105826,Logistics Issue,2
679,166848,Logistics Issue,9
680,192052,Weather,3
681,110341,Weather,9
682,79763,Customs,8
683,172416,Customs,2
684,119035,Traffic,7
685,6047,Logistics Issue,2
686,127469,Customs,8
687,140879,Logistics Issue,3
688,123995,Customs,5
689,71417,Logistics Issue,3
690,186454,Logistics Issue,5
691,195090,Logistics Issue,5
692,15307,Weather,6
693,107819,Logistics Issue,3
694,57658,Traffic,7
695,71379,Weather,1
696,44810,Logistics Issue,3
697,183088,Logistics Issue,4
698,20264,Traffic,8
699,43797,Traffic,6
700,25326,Weather,5
701,39346,Logistics Issue,9
702,3552,Logistics Issue,4
703,182014,Traffic,5
704,178082,Customs,9
705,93849,Logistics Issue,2
706,20146,Weather,3
707,32308,Traffic,8
708,14952,Weather,8
709,64935,Traffic,4
710,12290,Traffic,3
711,182558,Customs,5
712,139900,Weather,6
713,196346,Logistics Issue,1
714,43877,Customs,4
715,109860,Traffic,8
716,36750,Traffic,6
717,120632,Customs,8
718,70148,Traffic,6
719,60614,Weather,1
720,70322,Logistics Issue,5
721,184692,Traffic,8
722,109220,Traffic,2
723,42550,Traffic,2
724,64984,Customs,7
725,86455,Logistics Issue,5
726,77168,Logistics Issue,9
727,91391,Customs,1
728,23576,Weather,3
729,67389,Logistics Issue,4
730,185636,Logistics Issue,3
731,22687,Weather,6
732,31342,Customs,5
733,27458,Logistics Issue,1
734,147053,Traffic,1
735,86555,Customs,6
736,186157,Logistics Issue,4
737,155595,Customs,9
738,23969,Customs,8
739,123978,Customs,5
740,101186,Customs,6
741,130350,Logistics Issue,6
742,91682,Traffic,6
743,76725,Traffic,8
744,119929,Logistics Issue,7
745,118723,Weather,8
746,47672,Weather,1
747,91570,Weather,4
748,66960,Weather,9
749,84266,Logistics Issue,2
750,77469,Logistics Issue,6
751,107472,Weather,3
752,157635,Logistics Issue,9
753,81665,Traffic,7
754,54553,Traffic,5
755,112324,Weather,1
756,71680,Customs,8
757,18479,Traffic,5
758,94485,Traffic,4
759,118708,Weather,2
760,71123,Traffic,2
761,1369,Weather,6
762,169069,Customs,8
763,59760,Traffic,6
764,121784,Traffic,8
765,103291,Traffic,8
766,136458,Traffic,1
767,40361,Logistics Issue,7
768,159359,Weather,6
769,190630,Customs,9
770,128195,Customs,6
771,16554,Logistics Issue,2
772,139514,Customs,9
773,14726,Traffic,3
774,108180,Traffic,2
775,186672,Logistics Issue,1
776,90833,Customs,5
777,30595,Traffic,7
778,41495,Weather,8
779,167026,Traffic,5
780,40610,Customs,2
781,72358,Customs,9
782,40372,Logistics Issue,9
783,118352,Traffic,2
784,165416,Customs,6
785,65388,Traffic,8
786,24076,Logistics Issue,1
787,29936,Logistics Issue,7
788,4219,Customs,1
789,70151,Weather,5
790,94033,Traffic,8
791,101760,Weather,1
792,88973,Logistics Issue,7
793,110757,Customs,2
794,114536,Weather,9
795,194784,Logistics Issue,9
796,92478,Weather,8
797,45247,Customs,7
798,86854,Weather,3
799,136818,Customs,7
800,139890,Weather,7
801,178667,Weather,8
802,64414,Traffic,2
803,32288,Logistics Issue,5
804,3051,Traffic,2
805,53089,Customs,1
806,141252,Weather,6
807,107372,Customs,7
808,65312,Weather,7
809,1864,Weather,8
810,99775,Weather,4
811,61991,Weather,5
812,93483,Weather,6
813,66731,Traffic,7
814,94908,Customs,9
815,30501,Logistics Issue,4
816,128090,Customs,2
817,129343,Traffic,2
818,154785,Weather,8
819,34315,Traffic,5
820,7222,Weather,4
821,88643,Customs,8
822,113025,Weather,2
823,112116,Logistics Issue,8
824,133745,Weather,9
825,156410,Customs,3
826,5694,Customs,6
827,58468,Weather,8
828,39000,Weather,3
829,179452,Logistics Issue,6
830,99793,Customs,5
831,55399,Logistics Issue,1
832,70588,Customs,1
833,41756,Traffic,8
834,134839,Customs,2
835,153691,Weather,4
836,106638,Customs,5
837,86305,Weather,2
838,32540,Traffic,5
839,75651,Traffic,1
840,57841,Traffic,8
841,54984,Logistics Issue,3
842,112789,Logistics Issue,8
843,22668,Traffic,5
844,67775,Customs,8
845,148202,Logistics Issue,7
846,159791,Logistics Issue,2
847,114146,Customs,4
848,186770,Weather,4
849,187197,Traffic,5
850,166365,Traffic,1
851,122668,Traffic,6
852,108816,Traffic,2
853,51755,Traffic,5
854,164195,Traffic,1
855,51726,Weather,9
856,80343,Weather,5
857,3267,Logistics Issue,3
858,13885,Logistics Issue,3
859,25667,Traffic,1
860,156387,Weather,8
861,96073,Traffic,9
862,13885,Logistics Issue,3
863,115461,Customs,5
864,2670,Weather,4
865,51256,Logistics Issue,9
866,157528,Weather,5
867,24114,Logistics Issue,5
868,196423,Customs,3
869,87041,Customs,5
870,10143,Customs,4
871,55298,Logistics Issue,4
872,56628,Traffic,4
873,135102,Logistics Issue,2
874,63488,Traffic,4
875,182584,Customs,7
876,162901,Customs,1
877,121260,Logistics Issue,7
878,132425,Logistics Issue,5
879,143662,Logistics Issue,7
880,179188,Logistics Issue,8
881,9870,Logistics Issue,6
882,150657,Weather,4
883,137820,Logistics Issue,6
884,102598,Weather,7
885,163101,Weather,6
886,23080,Weather,9
887,53272,Logistics Issue,5
888,29794,Logistics Issue,4
889,140828,Traffic,4
890,185747,Traffic,4
891,144083,Weather,1
892,8596,Logistics Issue,2
893,195183,Traffic,2
894,120206,Weather,4
895,182455,Weather,1
896,142441,Customs,7
897,59330,Customs,4
898,42875,Customs,2
899,137656,Weather,3
900,146960,Customs,5
901,69912,Weather,4
902,44542,Weather,3
903,10482,Customs,6
904,166004,Traffic,1
905,161866,Logistics Issue,5
906,86767,Traffic,9
907,163891,Logistics Issue,3
908,83167,Weather,1
909,104601,Weather,5
910,62660,Traffic,9
911,190842,Logistics Issue,9
912,112696,Customs,9
913,192428,Weather,5
914,48908,Logistics Issue,2
915,72651,Traffic,1
916,73828,Weather,4
917,171150,Logistics Issue,9
918,28516,Customs,3
919,20531,Customs,3
920,126262,Weather,8
921,5693,Customs,7
922,148423,Logistics Issue,9
923,131469,Traffic,5
924,118850,Logistics Issue,7
925,190508,Weather,3
926,70165,Logistics Issue,4
927,182307,Logistics Issue,5
928,146284,Customs,4
929,55248,Logistics Issue,9
930,14755,Traffic,6
931,22566,Weather,6
932,154128,Customs,2
933,180509,Weather,1
934,107924,Logistics Issue,3
935,123261,Customs,8
936,9698,Logistics Issue,9
937,174686,Weather,1
938,39464,Traffic,7
939,48045,Weather,1
940,37068,Weather,1
941,9290,Weather,6
942,35475,Traffic,1
943,37846,Traffic,9
944,90082,Traffic,2
945,22779,Logistics Issue,1
946,120944,Traffic,4
947,23406,Weather,2
948,150049,Customs,8
949,195390,Traffic,3
950,54816,Traffic,1
951,102460,Weather,3
952,11377,Weather,8
953,108960,Traffic,9
954,61223,Weather,3
955,109516,Traffic,6
956,46038,Logistics Issue,2
957,134545,Customs,8
958,145822,Customs,4
959,121392,Logistics Issue,9
960,123818,Weather,8
961,83785,Logistics Issue,3
962,112139,Logistics Issue,3
963,38059,Traffic,9
964,191434,Logistics Issue,1
965,133729,Customs,2
966,104272,Logistics Issue,3
967,33379,Logistics Issue,5
968,93940,Weather,6
969,194008,Weather,4
970,37615,Traffic,1
971,107891,Customs,2
972,143117,Weather,5
973,88977,Traffic,7
974,16724,Weather,3
975,94210,Traffic,3
976,72872,Weather,7
977,11863,Traffic,6
978,168787,Weather,2
979,191213,Weather,1
980,133498,Customs,6
981,183161,Logistics Issue,4
982,165939,Weather,5
983,116209,Weather,5
984,9167,Traffic,8
985,171891,Logistics Issue,5
986,178728,Weather,9
987,27855,Traffic,9
988,169585,Traffic,6
989,96118,Logistics Issue,8
990,193850,Weather,7
991,65210,Customs,3
992,126436,Customs,9
993,68437,Logistics Issue,3
994,33996,Traffic,5
995,194530,Customs,4
996,167599,Traffic,6
997,19524,Customs,1
998,1816,Logistics Issue,1
999,164138,Traffic,5
1000,7309,Logistics Issue,7
1001,79295,Traffic,7
1002,71033,Weather,3
1003,70178,Traffic,9
1004,115272,Logistics Issue,2
1005,29780,Customs,6
1006,179738,Traffic,1
1007,167928,Logistics Issue,9
1008,175222,Logistics Issue,8
1009,108100,Traffic,8
1010,74025,Weather,6
1011,25499,Weather,5
1012,13126,Weather,3
1013,124845,Logistics Issue,6
1014,69790,Customs,5
1015,52152,Logistics Issue,8
1016,48750,Weather,4
1017,22582,Logistics Issue,3
1018,2869,Customs,4
1019,47005,Customs,2
1020,7615,Weather,7
1021,148312,Customs,6
1022,131366,Weather,3
1023,106777,Traffic,8
1024,93893,Weather,2
1025,118599,Traffic,7
1026,164542,Weather,1
1027,153197,Logistics Issue,6
1028,164543,Traffic,6
1029,176131,Traffic,2
1030,74487,Customs,6
1031,113251,Customs,5
1032,68679,Logistics Issue,2
1033,29179,Weather,9
1034,131409,Weather,8
1035,90854,Traffic,1
1036,189596,Logistics Issue,8
1037,84728,Customs,7
1038,4074,Traffic,9
1039,18260,Traffic,5
1040,152429,Weather,4
1041,65491,Traffic,9
1042,188787,Logistics Issue,7
1043,99287,Logistics Issue,5
1044,51599,Customs,7
1045,87644,Customs,9
1046,87762,Logistics Issue,4
1047,60868,Weather,2
1048,55383,Traffic,9
1049,162066,Customs,8
1050,178702,Logistics Issue,3
1051,191116,Logistics Issue,6
1052,112586,Traffic,5
1053,98663,Logistics Issue,8
1054,66024,Logistics Issue,4
1055,104298,Weather,7
1056,101156,Traffic,3
1057,8199,Weather,6
1058,109343,Traffic,4
1059,105975,Weather,2
1060,184338,Logistics Issue,8
1061,69537,Weather,8
1062,155403,Logistics Issue,8
1063,192898,Logistics Issue,1
1064,167653,Traffic,2
1065,53267,Logistics Issue,9
1066,182823,Weather,3
1067,119662,Logistics Issue,4
1068,183208,Weather,7
1069,18865,Traffic,9
1070,166578,Weather,6
1071,29981,Traffic,3
1072,47614,Traffic,8
1073,116007,Weather,5
1074,101810,Weather,6
1075,139008,Weather,1
1076,130389,Traffic,7
1077,131862,Customs,3
1078,99719,Traffic,8
1079,70310,Customs,6
1080,132882,Weather,3
1081,51893,Customs,7
1082,172965,Weather,5
1083,162489,Logistics Issue,9
1084,168425,Logistics Issue,8
1085,100323,Weather,3
1086,107555,Customs,1
1087,124713,Traffic,5
1088,147563,Traffic,3
1089,3977,Logistics Issue,9
1090,130242,Weather,7
1091,176687,Customs,8
1092,120934,Weather,5
1093,78403,Weather,5
1094,14952,Customs,9
1095,150562,Weather,4
1096,12060,Weather,6
1097,98388,Weather,4
1098,112717,Customs,4
1099,196006,Weather,1
1100,10497,Customs,1
1101,71835,Weather,7
1102,188598,Traffic,5
1103,85276,Weather,2
1104,193199,Traffic,6
1105,14858,Customs,6
1106,183961,Customs,8
1107,82105,Customs,3
1108,149633,Logistics Issue,8
1109,111486,Logistics Issue,6
1110,94049,Weather,2
1111,141290,Weather,7
1112,135281,Weather,2
1113,13839,Customs,1
1114,127412,Weather,8
1115,147838,Weather,1
1116,39512,Weather,7
1117,91108,Customs,7
1118,117956,Customs,7
1119,41786,Logistics Issue,5
1120,19404,Traffic,5
1121,5276,Traffic,9
1122,5648,Weather,3
1123,51891,Traffic,9
1124,180186,Traffic,1
1125,36604,Traffic,9
1126,117245,Traffic,8
1127,149728,Logistics Issue,1
1128,143578,Customs,1
1129,167228,Logistics Issue,4
1130,135570,Logistics Issue,2
1131,93511,Customs,2
